ID	adj.P.Val	P.Value	t	B	logFC	GenBank.Accession	Gene.symbol	Gene.title
A_23_P106194	1.71232293284589e-37	5.33982889838742e-42	18.619289925207	82.8187712834663	2.9336099242298	NM_005252	FOS	Fos proto-oncogene, AP-1 transcription factor subunit
A_23_P110712	1.01063173904322e-22	6.30325093736999e-27	13.0178744129789	49.909050333743	1.22142991358586	NM_004417	DUSP1	dual specificity phosphatase 1
A_23_P214080	9.64703142340133e-20	1.20335939419357e-23	11.8339675752841	42.6701506710889	1.46232773335859	NM_001964	EGR1	early growth response 1
A_23_P312008	2.94487930526732e-19	4.59175991715365e-23	11.6237306056807	41.3850119078606	1.8727525067197	AB240569	CD55	CD55 molecule (Cromer blood group)
A_24_P153342	8.41832031442914e-14	2.887751378636e-17	9.49837011356775	28.5499858108161	1.99839119706818			
A_23_P429998	8.04419625523617e-13	3.51198264799658e-16	9.0898967929144	26.1459319335672	2.87660275091414	NM_006732	FOSB	FosB proto-oncogene, AP-1 transcription factor subunit
A_24_P128308	2.8166061165772e-12	1.84453576724113e-15	8.81569937268789	24.5498739107722	1.72087547690909	FW339972		
A_32_P206308	4.78727498795603e-11	5.22514187727137e-14	8.25398689773887	21.3328349417134	1.0532350054596	CD556746		
A_24_P375911	6.32776526244752e-11	7.69585072615004e-14	8.18805630202816	20.9604192885522	2.13672361120455	NR_037183	SPANXA2-OT1	SPANXA2 overlapping transcript 1
A_23_P315364	1.15811044728274e-07	6.24795295412462e-10	6.58131230329355	12.3167599447359	1.83473433602525	NM_002089	CXCL2	C-X-C motif chemokine ligand 2
A_24_P252739	4.21515518361405e-07	2.90500918570089e-09	6.28775476160456	10.8460059658176	1.02076635214646	NM_001300	KLF6	Kruppel like factor 6
A_23_P128230	2.19497003155178e-06	2.24514351311e-08	5.88465636697085	8.89271568700259	1.6331879497702	NM_002135	NR4A1	nuclear receptor subfamily 4 group A member 1
A_24_P213134	4.36246376563218e-06	5.30564402219276e-08	5.71021083734591	8.07283508596357	1.46082254515152	AF318321		
A_23_P71037	4.09998275880409e-05	7.95269054160396e-07	5.13781404922346	5.49988764460958	2.02838534636111	NM_000600	IL6	interleukin 6
A_24_P257416	6.18106248744321e-05	1.32010815216774e-06	5.02609359304568	5.01992685257768	1.19480868406566	NM_002089	CXCL2	C-X-C motif chemokine ligand 2
A_24_P557479	0.000139137498453755	3.57530479077849e-06	4.8014784846759	4.07825082370298	1.6186946347298	NM_017523	XAF1	XIAP associated factor 1
A_24_P183150	0.000152576123095169	3.99675502541373e-06	4.77591751784009	3.97310486954397	1.21324474504798	NM_002090	CXCL3	C-X-C motif chemokine ligand 3
A_24_P251764	0.000182647177112326	4.97277441528676e-06	4.7255257500948	3.76704503088116	1.03591815461111	NM_002090	CXCL3	C-X-C motif chemokine ligand 3
A_23_P139786	0.000252402562613733	7.55625596748009e-06	4.62798895672487	3.3728807331814	2.59053664088637	NM_003733	OASL	2'-5'-oligoadenylate synthetase like
A_24_P943205	0.000525788186526426	1.88068434822656e-05	4.41031799522789	2.51595806389015	1.68428443683838	AL831953	EPSTI1	epithelial stromal interaction 1 (breast)
A_24_P348006	0.000829758887985869	3.34315178619061e-05	4.26903867034679	1.97700673738289	1.21241324318434	NM_016084	RASD1	ras related dexamethasone induced 1
A_24_P303091	0.00086996604242479	3.52956566312612e-05	4.2555425281762	1.92624623124364	3.53236029311616	NM_001565	CXCL10	C-X-C motif chemokine ligand 10
A_23_P45871	0.0011498088033921	4.98404664207758e-05	4.16899066279268	1.60375712306724	2.02988549699495	NM_006820	IFI44L	interferon induced protein 44 like
A_23_P47955	0.00230548293725408	0.000121360127173882	3.93956493912801	0.774833709775243	1.58483559528283	NM_006187	OAS3	2'-5'-oligoadenylate synthetase 3
A_23_P17663	0.00270072400640564	0.000147639915901989	3.88772845794697	0.592855312219176	1.29751963111111	NM_002462	MX1	MX dynamin like GTPase 1
A_32_P99533	0.00273817868459834	0.00015019977878219	3.88315858149353	0.576907387385677	1.1968651812702			
A_23_P48513	0.0028590037971156	0.000159769694839902	3.86670567204775	0.519618319401276	1.42892416464646	NM_005532	IFI27	interferon alpha inducible protein 27
A_23_P6263	0.00306103334257677	0.000174209806037441	3.84357138445806	0.439404811649037	1.71264151599242	NM_002463	MX2	MX dynamin like GTPase 2
A_24_P335305	0.00395856529161862	0.000243066550010823	3.75355267816774	0.131089584818936	1.46467052041414	NM_006187	OAS3	2'-5'-oligoadenylate synthetase 3
A_23_P501754	0.00398227267871348	0.000245018991333823	3.75137105655599	0.123693086776463	1.65926738793434	NM_000759	CSF3	colony stimulating factor 3
A_23_P72737	0.00405388714614492	0.000252174103885273	3.74351432318076	0.0970856529483459	1.28678551318182	NM_003641	IFITM1	interferon induced transmembrane protein 1
A_24_P378019	0.00448886627915493	0.000288201879409876	3.70690425680702	-0.0262812087741358	1.10810684707071	NM_004031	IRF7	interferon regulatory factor 7
A_24_P117294	0.00451637396355037	0.000290838314614136	3.70439813871568	-0.0346890341446766	1.63200026802273	NM_002463	MX2	MX dynamin like GTPase 2
A_23_P125278	0.00465424907177405	0.00030160381610835	3.69438281246425	-0.068241989388846	3.12934485282071	NM_005409	CXCL11	C-X-C motif chemokine ligand 11
A_24_P270460	0.00474915887569642	0.000308938953276039	3.68775057678183	-0.0904190469631621	1.20636265265151	NM_005532	IFI27	interferon alpha inducible protein 27
A_23_P52266	0.00491383239517027	0.000323328853768961	3.67516103270642	-0.132424143770978	1.81039828247475	NM_001548	IFIT1	interferon induced protein with tetratricopeptide repeats 1
A_32_P87013	0.00527838371196123	0.000355711079974685	3.64866275114949	-0.220440475200537	1.01005958486869	NM_000584	CXCL8	C-X-C motif chemokine ligand 8
A_23_P4286	0.00547727553529476	0.000374703750880357	3.63416223381025	-0.268377711228801	1.20699214660354	NM_017523	XAF1	XIAP associated factor 1
A_23_P4283	0.00553227267201334	0.000380756721462358	3.62968645345826	-0.283141618956032	1.19670182420202	NM_017523	XAF1	XIAP associated factor 1
A_23_P250353	0.00570422473229285	0.000397038375977723	3.61797225275884	-0.321709517620056	1.08267015330303	NM_017912	HERC6	HECT and RLD domain containing E3 ubiquitin protein ligase family member 6
A_23_P250358	0.00576799361616389	0.00040209874247711	3.61442365884651	-0.333372112414214	1.08844563301768	NM_017912	HERC6	HECT and RLD domain containing E3 ubiquitin protein ligase family member 6
A_23_P23074	0.00647641664823485	0.000461086450491788	3.57590318979703	-0.459346853126506	1.09849201664142	NM_006417	IFI44	interferon induced protein 44
A_24_P20607	0.00671717462978565	0.000484555417716855	3.56185689193463	-0.504997740451683	2.84220334260354	NM_005409	CXCL11	C-X-C motif chemokine ligand 11
A_23_P819	0.00716738790711501	0.000529949066884014	3.53641705175988	-0.587288654933459	1.60719802472222	NM_005101	ISG15	ISG15 ubiquitin-like modifier
A_23_P384355	0.0082790837324633	0.000642095651062969	3.48142345081819	-0.763456341599655	1.51671255483081			
A_23_P201459	0.00891854016672994	0.000709211258463883	3.45268781621308	-0.854567781562349	1.49826761414141	NM_022873	IFI6	interferon alpha inducible protein 6
A_24_P715602	0.00909967863508952	0.000726272008986192	3.44579065914672	-0.876339954563087	1.91357467049747	NR_039975	LINC01093	long intergenic non-protein coding RNA 1093
A_23_P110196	0.0103335030200153	0.000869423118720218	3.39325574086306	-1.04094580090042	1.44162583483333	NM_016323	HERC5	HECT and RLD domain containing E3 ubiquitin protein ligase 5
A_23_P204087	0.0134430940575998	0.00122495777080196	3.29143379894148	-1.35374421728681	1.21928622968687	NM_016817	OAS2	2'-5'-oligoadenylate synthetase 2
A_24_P289273	0.0152241096777477	0.00144659189160499	3.24118984991615	-1.50503641027851	1.02687059035606	BC008094	RGR	retinal G protein coupled receptor
A_23_P105794	0.0159494994005432	0.00153988992247737	3.22215686873522	-1.56181617113794	1.41503900465909	NM_033255	EPSTI1	epithelial stromal interaction 1 (breast)
A_24_P917810	0.0170301224755904	0.00168883242811543	3.19388710647866	-1.64561025766829	1.71524952355555			
A_24_P316965	0.0175441118516717	0.00175348110158755	3.18233136851427	-1.67967582373833	1.63183935314646	NM_080657	RSAD2	radical S-adenosyl methionine domain containing 2
