ID	adj.P.Val	P.Value	t	B	logFC	GenBank.Accession	Gene.symbol	Gene.title
A_23_P106194	8.62690905576238e-41	2.69027631389353e-45	19.9186922382241	90.8065439340158	3.09120387990079	NM_005252	FOS	Fos proto-oncogene, AP-1 transcription factor subunit
A_23_P110712	3.66710370061212e-31	2.28715109028729e-35	16.1004167490997	68.9621081583858	1.48796655207937	NM_004417	DUSP1	dual specificity phosphatase 1
A_23_P214080	8.81992418474956e-28	8.2514025491155e-32	14.7895152112	61.0781426201066	1.80009678696032	NM_001964	EGR1	early growth response 1
A_23_P312008	2.30193277515949e-21	3.5892549586171e-25	12.3845567360648	46.3047967267074	1.96536353872143	AB240569	CD55	CD55 molecule (Cromer blood group)
A_32_P152255	4.47250660488323e-20	8.36842848701138e-24	-11.8909542671009	43.2537113620777	-1.15229510892857			
A_32_P171488	4.62160072343471e-18	1.44123264522241e-21	11.0812009736822	38.2613488942898	1.19118095291667			
A_32_P74409	9.58544041729267e-18	3.58702981281417e-21	10.9371865766904	37.3768302035308	4.71482216948492	NM_001145033	C11orf96	chromosome 11 open reading frame 96
A_23_P315364	3.01654769757233e-17	1.22291203007579e-20	10.7430734153703	36.1869197606085	2.94996463172222	NM_002089	CXCL2	C-X-C motif chemokine ligand 2
A_32_P206308	3.96076226290312e-16	2.71733463635104e-19	10.2497866608414	33.1778443341307	1.28826115778254	CD556746		
A_23_P429998	6.24802395531293e-16	4.67622711596066e-19	10.1629989244181	32.6510368572406	3.16789220703968	NM_006732	FOSB	FosB proto-oncogene, AP-1 transcription factor subunit
A_23_P39237	1.52508781832329e-14	1.71213900457288e-17	9.58323177140488	29.1568200364482	1.10828911281746	NM_003407	ZFP36	ZFP36 ring finger protein
A_24_P150160	2.45327891999872e-14	3.06019137430844e-17	9.48894233527129	28.5932322508502	3.16270564693651	NM_004265	FADS2	fatty acid desaturase 2
A_24_P918137	2.50860437924996e-14	3.20743379640279e-17	-9.48130171658428	28.5476266461195	-1.04939801345238			
A_24_P715602	5.45216212997718e-14	7.48105946047326e-17	9.34332191335503	27.7257598026131	5.11075913175635	NR_039975	LINC01093	long intergenic non-protein coding RNA 1093
A_32_P214178	6.66653276267602e-14	9.56311806789214e-17	9.3032143128128	27.4874874646562	2.78831021986111	NR_026960	LINC00319	long intergenic non-protein coding RNA 319
A_23_P166686	7.25437718695911e-14	1.08588301049065e-16	9.28244002468763	27.364185071815	1.02152166447619	NM_016201	AMOTL2	angiomotin like 2
A_24_P128308	8.93787125084628e-14	1.3936244816862e-16	9.24160780755302	27.1220623554294	1.77691962917143	FW339972		
A_23_P114903	2.94618417226844e-13	5.05317396310114e-16	9.02997074213878	25.8722031634078	2.75830767493492	NM_002155	HSPA6	heat shock protein family A (Hsp70) member 6
A_23_P61398	4.67421178887833e-13	8.45430766067743e-16	8.9449948235901	25.3728766084623	1.15056340756349	NM_001001852	PIM3	Pim-3 proto-oncogene, serine/threonine kinase
A_23_P136721	5.08372184880425e-13	9.51206258546963e-16	8.92549550892775	25.258508750401	3.12497601319682	U88896	ERVH-4	endogenous retrovirus group H member 4
A_23_P97141	7.48726698447439e-13	1.44762700919142e-15	8.85592165271447	24.851102255697	3.17856133854286	NM_002922	RGS1	regulator of G-protein signaling 1
A_24_P852001	1.02233332806414e-12	2.12867227796483e-15	8.79188830147548	24.4770687590099	3.24315937631746	M26995	IGK///IGKV3-20///IGHV3-23	immunoglobulin kappa locus///immunoglobulin kappa variable 3-20///immunoglobulin heavy variable 3-23
A_23_P166280	1.5491999941982e-12	3.381794355377e-15	8.71480913918381	24.0280455107607	1.17021478864921			
A_24_P289273	2.47287146733552e-12	5.83427394466092e-15	8.62370948864741	23.4991068858766	2.69111923339762	BC008094	RGR	retinal G protein coupled receptor
A_23_P257129	4.37225095699489e-12	1.07714418437208e-14	8.52088643378976	22.9044702120089	2.88445626880714	NM_002571	PAEP	progestagen associated endometrial protein
A_24_P916195	4.58708810314658e-12	1.1443759885606e-14	8.51070951207444	22.8457561049869	2.56434181694524	AY927428	TRMU///GTSE1	tRNA 5-methylaminomethyl-2-thiouridylate methyltransferase///G2 and S-phase expressed 1
A_32_P2050	5.48455635769862e-12	1.41958455012625e-14	8.47445126841481	22.6367788705215	1.58283699979048			
A_32_P137604	1.20603169743952e-11	3.34835890796011e-14	8.32951657034819	21.8047689534333	1.88587829417064	NM_001164440	ANKRD33B	ankyrin repeat domain 33B
A_24_P322867	1.26675940464697e-11	3.59482040174867e-14	8.3174792811639	21.7359131487752	1.60308761911508	NM_004420	DUSP8	dual specificity phosphatase 8
A_24_P251764	1.38219724292279e-11	4.09482452607555e-14	8.29539069066528	21.609661697284	1.79118206433492	NM_002090	CXCL3	C-X-C motif chemokine ligand 3
A_23_P106002	1.39271218582178e-11	4.16940686184835e-14	8.29232746708938	21.5921635264296	1.11915315137302	NM_020529	NFKBIA	NFKB inhibitor alpha
A_23_P128230	1.70798954507144e-11	5.32631535557254e-14	8.25072612099465	21.3547717301581	2.25545832767063	NM_002135	NR4A1	nuclear receptor subfamily 4 group A member 1
A_24_P348828	2.13517949815305e-11	6.92483449676981e-14	8.20605185349081	21.1003669477526	2.49196259139762	NR_024267	PRNT	prion protein (testis specific)
A_23_P29621	4.02797983538929e-11	1.38172508152562e-13	8.08801409374622	20.4308446489062	1.29079966357302	NM_145262	GLYCTK	glycerate kinase
A_23_P421638	4.17994973638083e-11	1.47296073911196e-13	8.07705440815241	20.3688800063979	2.09659126452857	NM_145166	ZBTB47	zinc finger and BTB domain containing 47
A_24_P252739	4.52629644660753e-11	1.60912400571696e-13	8.06189020283274	20.2832004391947	1.28912552278889	NM_001300	KLF6	Kruppel like factor 6
A_23_P55706	6.33378946722266e-11	2.310953215658e-13	7.99968952921416	19.9324569241102	1.10675816315873	NM_006509	RELB	RELB proto-oncogene, NF-kB subunit
A_23_P390528	6.54412627013019e-11	2.40810459311867e-13	7.99260094632544	19.8925569670351	1.50908443895396	NM_004420	DUSP8	dual specificity phosphatase 8
A_24_P257416	7.13476272843072e-11	2.71444492116053e-13	7.97197352476793	19.7765345581895	1.86664281694444	NM_002089	CXCL2	C-X-C motif chemokine ligand 2
