ID	adj.P.Val	P.Value	t	B	logFC	GenBank.Accession	Gene.symbol	Gene.title
A_23_P126186	7.63795437762793e-30	2.38187369495991e-34	15.7230571335221	67.3750901181023	1.44401216875	NM_003676	DEGS1	delta 4-desaturase, sphingolipid 1
A_23_P136478	4.98587438383678e-28	3.1096606379373e-32	14.9445736938874	62.5865269598002	1.08850343533333	NM_002199	IRF2	interferon regulatory factor 2
A_24_P387839	7.41445864745374e-28	6.93653161891079e-32	14.8170765055538	61.7976227034153	1.40519965833333	NM_003676	DEGS1	delta 4-desaturase, sphingolipid 1
A_23_P211488	6.25516077360086e-27	7.80261424342889e-31	14.4335051807797	59.417259733265	2.4917579772	NM_145637	APOL2	apolipoprotein L2
A_23_P141960	1.19759773917722e-26	1.86733673118349e-30	14.2955592778724	58.558827212156	1.05234121238889	NM_203344	SERTAD3	SERTA domain containing 3
A_23_P120458	1.68743790041271e-26	3.15733539229621e-30	14.2126166127794	58.0421214828196	1.85008926038889	NM_018683	RNF114	ring finger protein 114
A_24_P226278	7.07805401217767e-26	1.59636706850262e-29	13.9570537599881	56.4476060316479	1.72138253127222	NM_015288	JADE2	jade family PHD finger 2
A_24_P191207	7.07805401217767e-26	2.15141376754384e-29	-13.9100532022341	56.1539827488649	-1.28597725490556			
A_32_P77977	7.07805401217767e-26	2.20727040639214e-29	13.9060167166611	56.1287607505064	1.14810574146111	NM_016037	UTP11	UTP11, small subunit processome component homolog (S. cerevisiae)
A_24_P576174	7.23299427382581e-26	2.4811468803469e-29	13.887598481397	56.0136641340299	1.00160171536111	NM_018403	DCP1A	decapping mRNA 1A
A_23_P416106	9.93372501958827e-26	3.71736365219881e-29	13.8239534018758	55.6158158756907	1.17860587711667	NM_004286	GTPBP1	GTP binding protein 1
A_23_P156198	6.62323198217311e-25	2.68506613553655e-28	13.5130651734654	53.6698505477315	1.69842736474444	NM_015288	JADE2	jade family PHD finger 2
A_32_P75867	1.5370952170984e-24	6.71074096091857e-28	13.3692277476435	52.7682410655499	2.91280141660555			
A_23_P368278	1.98795934056459e-24	9.94258046014327e-28	13.3075284288618	52.3812818578069	1.24513422057222	NM_014824	FCHSD2	FCH and double SH3 domains 2
A_32_P134634	1.98795934056459e-24	1.00474980740893e-27	13.3058811603455	52.3709490694113	2.78044192526111	DL492380		
A_24_P277511	1.98795934056459e-24	1.10597486346084e-27	-13.2908185439846	52.2764622873029	-1.1591806183	AK057015		
A_23_P312008	1.98795934056459e-24	1.11589073284569e-27	13.2894179536413	52.2676761314865	2.47772014265	AB240569	CD55	CD55 molecule (Cromer blood group)
A_23_P254768	2.49969515836856e-24	1.48109296189237e-27	13.2449952410222	51.988974559987	1.18471318558333	NR_002139	HCG4	HLA complex group 4 (non-protein coding)
A_23_P106194	3.151871905011e-24	1.96580403842642e-27	13.2005815334781	51.7102736114462	2.40682079847222	NM_005252	FOS	Fos proto-oncogene, AP-1 transcription factor subunit
A_32_P206308	3.39827134914242e-24	2.33016612538109e-27	13.1739109890887	51.542887404926	1.94530487341111	CD556746		
A_23_P373619	4.36723158810966e-24	3.26858010149474e-27	13.1208380231925	51.209743729696	8.54530338342222	NM_172139	IFNL3	interferon lambda 3
A_23_P361773	5.8384771007957e-24	4.55177994573526e-27	13.0689118668512	50.8837333385026	1.23064380483333	NM_001760	CCND3	cyclin D3
A_23_P209726	6.86336031940987e-24	5.77886077974449e-27	13.0314909188476	50.6487544490061	1.18490740148889	NM_007237	SP140	SP140 nuclear body protein
A_23_P337800	7.10266310741133e-24	6.26749035267167e-27	13.018766316865	50.56884562559	7.1098697581	NM_172140	IFNL1	interferon lambda 1
A_23_P153905	7.10266310741133e-24	6.42333957385875e-27	13.0149158996617	50.5446648628688	1.35558168344445	NM_004907	IER2	immediate early response 2
A_23_P358944	8.47662326557835e-24	7.9302303915973e-27	12.9818809030243	50.3371918161871	2.70198256616667	NM_033244	PML	promyelocytic leukemia
A_23_P420196	9.92547368043775e-24	1.02142586289471e-26	12.94220979295	50.0880141603841	3.9706279733	NM_003745	SOCS1	suppressor of cytokine signaling 1
A_23_P321388	1.25153233913076e-23	1.32697475692911e-26	12.9011947708941	49.830366454706	1.65795859256111	NM_153341	RNF19B	ring finger protein 19B
A_23_P337753	2.16586886472866e-23	2.38681504815729e-26	12.8092013814719	49.2523900829044	1.51794167035	NM_138402	SP140L	SP140 nuclear body protein like
A_23_P90752	2.25566937782974e-23	2.60266838119251e-26	-12.7956357944594	49.1671505755563	-1.07932052279444	NM_015909	NBAS	neuroblastoma amplified sequence
A_23_P103120	2.61679446475897e-23	3.15360064911228e-26	12.7655516118133	48.9781086446522	1.44115348805556	NM_004286	GTPBP1	GTP binding protein 1
A_23_P409438	2.61679446475897e-23	3.18255477985467e-26	12.7641196629416	48.9691103646276	6.42054529015555	NM_172138	IFNL2	interferon lambda 2
A_23_P20122	3.7035292529242e-23	4.61973898764986e-26	12.7057349721962	48.6022071981839	3.38695148892222	NM_024625	ZC3HAV1	zinc finger CCCH-type containing, antiviral 1
A_32_P114739	4.24929856038002e-23	5.56555148707271e-26	12.676554852787	48.4188212732535	1.71165535516667	DB518505		
A_23_P8412	4.25629093155395e-23	5.70744098471387e-26	-12.6726109171123	48.3940346486721	-1.05751989856111	NM_022087	GALNT11	polypeptide N-acetylgalactosaminyltransferase 11
A_24_P48898	4.2636794273139e-23	5.85031012573087e-26	12.6687376125673	48.3696918158781	2.16303710972223	NM_145637	APOL2	apolipoprotein L2
A_23_P101025	4.43999422754127e-23	6.23069636197203e-26	12.6588689730571	48.307669212426	2.03502995266667	NM_001040078	LGALS9C	galectin 9C
A_24_P177631	4.50425468575197e-23	6.58021362408536e-26	-12.6503185927372	48.2539311146335	-1.31763037668889	NM_024597	MAP7D3	MAP7 domain containing 3
A_24_P490857	4.50425468575197e-23	6.6018015477077e-26	-12.6498054750008	48.2507062176466	-1.03328011983889	NM_020791	TAOK1	TAO kinase 1
A_24_P168760	5.78145543353946e-23	8.65406370442805e-26	12.6074003537975	47.9841889178162	1.56053815251111	NM_004286	GTPBP1	GTP binding protein 1
A_24_P84984	6.18607578395421e-23	9.45263708528258e-26	-12.5935731927821	47.8972829738935	-1.44873134254445	NM_003316	TTC3	tetratricopeptide repeat domain 3
A_23_P373079	7.44329110114425e-23	1.18379594648192e-25	12.5583232309501	47.6757281582315	1.70198859966666	NM_152716	PATL1	PAT1 homolog 1, processing body mRNA decay factor
A_23_P338479	1.61825807809749e-22	2.82603462667102e-25	12.4220099574556	46.8189528528537	3.69234615545	NM_014143	CD274	CD274 molecule
A_23_P209995	1.62637891707514e-22	2.89093455182221e-25	12.4184529481749	46.7965961786615	2.24245188358334	NM_173842	IL1RN	interleukin 1 receptor antagonist
A_23_P8416	1.73765629211183e-22	3.19710983985399e-25	-12.4026822811942	46.697474214818	-1.05466456988333	NM_022087	GALNT11	polypeptide N-acetylgalactosaminyltransferase 11
A_24_P74828	1.76839882462378e-22	3.32203990825105e-25	12.3966771258629	46.659730803362	2.66832625858889	NR_036677	MT1JP	metallothionein 1J, pseudogene
A_23_P90696	1.76839882462378e-22	3.36396695362992e-25	12.3947122745743	46.6473814156082	1.50928446598889	NM_021643	TRIB2	tribbles pseudokinase 2
A_32_P409599	1.77999336299393e-22	3.44153143436004e-25	-12.3911410317227	46.6249356571705	-1.22012756456111	AK094874	RN7SL737P	RNA, 7SL, cytoplasmic 737, pseudogene
A_32_P135664	2.26170530335482e-22	4.55262242481857e-25	12.3473076254552	46.3494418900899	2.26225405118333	NR_105014	SCAMP1-AS1	SCAMP1 antisense RNA 1
A_23_P99920	2.26170530335482e-22	4.58449012124811e-25	-12.3462147715791	46.3425734253212	-1.04494903713889	AF161470	HACD3	3-hydroxyacyl-CoA dehydratase 3
A_32_P36235	3.14794586184789e-22	6.77357608967177e-25	12.2850556642929	45.9582091582681	1.34079341116667	NM_004907	IER2	immediate early response 2
A_23_P201939	3.56079567902895e-22	7.7759810513568e-25	12.2634311748121	45.8223141891737	2.77696644582778	NM_005167	PPM1J	protein phosphatase, Mg2+/Mn2+ dependent 1J
A_23_P158933	3.56079567902895e-22	7.91502871005974e-25	-12.260654039494	45.8048621438121	-1.49136748363333	NM_145290	ADGRA3	adhesion G protein-coupled receptor A3
A_24_P219053	3.56079567902895e-22	7.99505064053651e-25	-12.2590778265517	45.7949569573248	-1.35819627976667	AB051491	GPALPP1	GPALPP motifs containing 1
A_23_P148556	3.68158060705927e-22	8.49586693243477e-25	12.2495576268642	45.7351309716905	1.66913172954445	NM_000033	ABCD1	ATP binding cassette subfamily D member 1
A_24_P918397	4.99614494342478e-22	1.16852487216409e-24	12.1996093566369	45.4212672063406	2.55723762294445	NM_031212	SLC25A28	solute carrier family 25 member 28
A_24_P333019	5.27019061573201e-22	1.24905506219987e-24	12.1891652906512	45.3556428960697	1.16541822051666	NM_007219	RNF24	ring finger protein 24
